author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type,mean_compound,n_comments
@brucefrykman8295,20,59,79,0.2531645569620253,denial-leaning,-0.2870352678489407,79
@RodMartinJr,8,69,77,0.1038961038961039,denial-leaning,0.015869309884963774,77
@HealingLifeKwikly,26,42,68,0.3823529411764705,balanced,-0.5349941173021978,68
@ricktd6891,57,8,65,0.8769230769230769,science-leaning,-0.7147482677039474,65
@rakooi,1,55,56,0.0178571428571428,denial-leaning,-0.5470717835027272,56
@AmericatheBeautiful-p4z,17,39,56,0.3035714285714285,balanced,-0.32633993138763195,56
@mrunning10,7,47,54,0.1296296296296296,denial-leaning,-0.7102437796352583,54
@swiftlytiltingplanet8481,8,45,53,0.1509433962264151,denial-leaning,-0.3864649809805556,53
@lrvogt1257,23,23,46,0.5,balanced,-0.5591318233260869,46
@boffeycn,25,17,42,0.5952380952380952,balanced,-0.5266870015852941,42
@stevewilson4321,1,40,41,0.024390243902439,denial-leaning,-0.7954250887500001,41
@enderwiggin1113,6,34,40,0.15,denial-leaning,-0.21255289315686274,40
@hosnimubarak8869,17,21,38,0.4473684210526316,balanced,-0.18984997162436973,38
@superstormthunder3,21,15,36,0.5833333333333334,balanced,-0.27949964683333334,36
@anthonymorris5084,12,21,33,0.3636363636363636,balanced,-0.2764467135375,33
@JJRM8,5,28,33,0.1515151515151515,denial-leaning,-0.25959630713571424,33
@Desertphile,6,27,33,0.1818181818181818,denial-leaning,-0.2688407034814815,33
@scottekoontz,27,6,33,0.8181818181818182,science-leaning,-0.4169431310555556,33
@spacescatatford,26,6,32,0.8125,science-leaning,-0.1649228203397436,32
@maxsordi,14,16,30,0.4666666666666667,balanced,-0.49821010910714286,30
@rps1689,7,23,30,0.2333333333333333,denial-leaning,-0.2235809264729814,30
@Jc-ms5vv,10,19,29,0.3448275862068966,balanced,-0.46026208089473686,29
@hanshansen3885,12,17,29,0.4137931034482758,balanced,-0.5277037695392157,29
@oldineamiller9007,13,15,28,0.4642857142857143,balanced,-0.3832295853076923,28
@peterjones4180,26,1,27,0.9629629629629628,science-leaning,-0.41742234367307696,27
@SigFigNewton,14,12,26,0.5384615384615384,balanced,-0.2656162158160714,26
@drkstrong,15,11,26,0.5769230769230769,balanced,-0.49815663972727275,26
@woodchipgardens9084,4,22,26,0.1538461538461538,denial-leaning,-0.4996032934727273,26
@RobertMJohnson,14,11,25,0.56,balanced,-0.3553601170357143,25
@simon6071,4,21,25,0.16,denial-leaning,-0.6067453592857143,25
@1000frolly,16,9,25,0.64,balanced,-0.2018303944375,25
@reuireuiop0,15,9,24,0.625,balanced,-0.16453457609444444,24
@C_R_O_M________,1,23,24,0.0416666666666666,denial-leaning,-0.34400497226086957,24
@boogathon,2,22,24,0.0833333333333333,denial-leaning,-0.2530122171363637,24
@garysarela4431,10,13,23,0.4347826086956521,balanced,-0.4808671186923077,23
@AtlasPro1,1,22,23,0.0434782608695652,denial-leaning,0.5903921112272728,23
@fredneecher1746,11,12,23,0.4782608695652174,balanced,-0.2939601233598485,23
@kayakMike1000,3,19,22,0.1363636363636363,denial-leaning,-0.4466279582456141,22
@TerraPotentia,4,18,22,0.1818181818181818,denial-leaning,-0.32934893663888887,22
@danzel1157,2,20,22,0.0909090909090909,denial-leaning,-0.08590815424999998,22
@TruthWizardX,19,3,22,0.8636363636363636,science-leaning,-0.006257876886842109,22
@RichardTavilla,7,15,22,0.3181818181818182,balanced,-0.5771889552857142,22
@CH-et4go,7,14,21,0.3333333333333333,balanced,-0.45620978914285715,21
@ClimateDN,8,13,21,0.3809523809523809,balanced,0.13772831784615383,21
@jimthain8777,7,14,21,0.3333333333333333,balanced,-0.16584442714285713,21
@ceeemm1901,8,13,21,0.3809523809523809,balanced,-0.13482004290865385,21
@pshehan1,1,20,21,0.0476190476190476,denial-leaning,-0.3945377753,21
@kimlibera663,6,15,21,0.2857142857142857,denial-leaning,-0.1726486201666667,21
@lorenzoblum868,15,6,21,0.7142857142857143,science-leaning,-0.39585297340000003,21
@albertjackinson,4,16,20,0.2,denial-leaning,0.1553894261875,20
@thomasmaughan4798,10,10,20,0.5,balanced,-0.3115416181,20
@geraldfrost4710,9,11,20,0.45,balanced,-0.2646517698282828,20
@klokoloko2114,11,9,20,0.55,balanced,-0.413388101969697,20
@Proemed44G,1,18,19,0.0526315789473684,denial-leaning,-0.6709391694444444,19
@bartroberts1514,5,13,18,0.2777777777777778,denial-leaning,-0.17302002549999998,18
@wheel-man5319,2,16,18,0.1111111111111111,denial-leaning,-0.50351979790625,18
@R-A-Clark,1,16,17,0.0588235294117647,denial-leaning,-0.0028349319375,17
@bobbobby3085,1,16,17,0.0588235294117647,denial-leaning,-0.15765224756250001,17
@BrentonSmythesfieldsaye,5,12,17,0.2941176470588235,denial-leaning,-0.4391472788333333,17
@eattherich1793,1,16,17,0.0588235294117647,denial-leaning,-0.7400484459375001,17
@climatecraze,12,5,17,0.7058823529411765,science-leaning,0.08787590616666668,17
@petewright4640,5,12,17,0.2941176470588235,denial-leaning,-0.33928239516666664,17
@kimweaver3323,5,11,16,0.3125,balanced,-0.44111546972727267,16
@EmeraldView,15,1,16,0.9375,science-leaning,-0.11143611456666666,16
@williamschlosser,3,12,15,0.2,denial-leaning,-0.3316494575,15
@mve6182,4,11,15,0.2666666666666666,denial-leaning,-0.2218722889318182,15
@jamespyke6764,7,8,15,0.4666666666666667,balanced,-0.5933873546428572,15
@etienne8110,11,4,15,0.7333333333333333,science-leaning,-0.7195690072727272,15
@besmart,8,7,15,0.5333333333333333,balanced,0.22819772345089287,15
@WadcaWymiaru,7,8,15,0.4666666666666667,balanced,-0.3255418417142857,15
@ge556,5,10,15,0.3333333333333333,balanced,-0.40741066145000004,15
@andrewcheadle948,11,4,15,0.7333333333333333,science-leaning,-0.6187324463181818,15
@altrag,2,13,15,0.1333333333333333,denial-leaning,-0.36143937592307696,15
@TheConstitutionFirst,14,1,15,0.9333333333333332,science-leaning,-0.5259652239285715,15
@johngeier8692,1,13,14,0.0714285714285714,denial-leaning,-0.41856623992307695,14
@vhawk1951kl,5,9,14,0.3571428571428571,balanced,-0.40836091202222224,14
@glidercoach,7,7,14,0.5,balanced,-0.4080207817142857,14
@liner011f7,5,9,14,0.3571428571428571,balanced,-0.553799253888889,14
@samlair3342,10,4,14,0.7142857142857143,science-leaning,-0.3259502436,14
@will7its,2,12,14,0.1428571428571428,denial-leaning,-0.1776660961666667,14
@LuxDiscendi,4,10,14,0.2857142857142857,denial-leaning,-0.08163149035000002,14
@kmoses582,4,10,14,0.2857142857142857,denial-leaning,-0.56469418215,14
@hg6996,2,12,14,0.1428571428571428,denial-leaning,-0.36144747316666664,14
@dongaetano3687,5,8,13,0.3846153846153846,balanced,0.61980100975,13
@terenceiutzi4003,7,6,13,0.5384615384615384,balanced,-0.4112771360952381,13
@douglasengle2704,6,7,13,0.4615384615384615,balanced,-0.2722120271642857,13
@Emppu_T.,9,4,13,0.6923076923076923,balanced,-0.2136135565,13
@BillyTheKidCENTURION,3,10,13,0.2307692307692307,denial-leaning,-0.4709066203333333,13
@pilafmon,1,12,13,0.0769230769230769,denial-leaning,-0.5944650095833334,13
@peterh5165,7,6,13,0.5384615384615384,balanced,-0.3401405833809524,13
@peternagel-er7ly,1,12,13,0.0769230769230769,denial-leaning,-0.55092158125,13
@nae-nae-99,4,9,13,0.3076923076923077,balanced,-0.20543508161111113,13
@Cambyses1467,8,5,13,0.6153846153846154,balanced,-0.57931317315625,13
@Tequima,10,3,13,0.7692307692307693,science-leaning,-0.3110592361833333,13
@biggav7434,9,4,13,0.6923076923076923,balanced,-0.5941653305722222,13
@bighands69,6,7,13,0.4615384615384615,balanced,-0.25014977290476187,13
@ConfidentlyUninformed,5,7,12,0.4166666666666667,balanced,0.32684439925714287,12
@thebritishbookworm2649,1,11,12,0.0833333333333333,denial-leaning,0.41355038954545453,12
@oldgoat142,4,8,12,0.3333333333333333,balanced,-0.09542189937500002,12
@spillarge,7,5,12,0.5833333333333334,balanced,-0.5261191115714285,12
@penguinuprighter6231,6,6,12,0.5,balanced,-0.03177793749999998,12
@trader2137,1,11,12,0.0833333333333333,denial-leaning,-0.3740060976818182,12
@budbud2509,3,9,12,0.25,denial-leaning,-0.36204376000000005,12
@dasGagaTier,2,10,12,0.1666666666666666,denial-leaning,-0.38302985575,12
@danilooliveira6580,1,11,12,0.0833333333333333,denial-leaning,-0.4973291075909091,12
@yasi4877,4,7,11,0.3636363636363636,balanced,-0.4266473325,11
@jamisojo,1,10,11,0.0909090909090909,denial-leaning,-0.7099654774999999,11
@miked5106,4,7,11,0.3636363636363636,balanced,-0.1651503041589286,11
@stevem8318,8,3,11,0.7272727272727273,science-leaning,-0.1499292042291667,11
@billymcnomates7764,10,1,11,0.9090909090909092,science-leaning,0.1495313205,11
@Thomas-gk42,1,10,11,0.0909090909090909,denial-leaning,0.35998799295,11
@DrachenGothik666,1,10,11,0.0909090909090909,denial-leaning,-0.5041292192,11
@manoo422,6,5,11,0.5454545454545454,balanced,-0.49505804249999996,11
@Cspacecat,6,5,11,0.5454545454545454,balanced,-0.08309573666666667,11
@SteveSmith-fh6br,1,10,11,0.0909090909090909,denial-leaning,-0.250933393,11
@christinearmington,10,1,11,0.9090909090909092,science-leaning,0.202828971,11
