author,science_comments,denial_comments,total_comments,sci_ratio,bridge_type
@brucefrykman8295,20,59,79,0.25316455696202533,denial-leaning
@RodMartinJr,8,69,77,0.1038961038961039,denial-leaning
@HealingLifeKwikly,26,42,68,0.38235294117647056,balanced
@ricktd6891,57,8,65,0.8769230769230769,science-leaning
@rakooi,1,55,56,0.017857142857142856,denial-leaning
@AmericatheBeautiful-p4z,17,39,56,0.30357142857142855,balanced
@mrunning10,7,47,54,0.12962962962962962,denial-leaning
@swiftlytiltingplanet8481,8,45,53,0.1509433962264151,denial-leaning
@lrvogt1257,23,23,46,0.5,balanced
@boffeycn,25,17,42,0.5952380952380952,balanced
@stevewilson4321,1,40,41,0.024390243902439025,denial-leaning
@enderwiggin1113,6,34,40,0.15,denial-leaning
@hosnimubarak8869,17,21,38,0.4473684210526316,balanced
@superstormthunder3,21,15,36,0.5833333333333334,balanced
@anthonymorris5084,12,21,33,0.36363636363636365,balanced
@JJRM8,5,28,33,0.15151515151515152,denial-leaning
@Desertphile,6,27,33,0.18181818181818182,denial-leaning
@scottekoontz,27,6,33,0.8181818181818182,science-leaning
@spacescatatford,26,6,32,0.8125,science-leaning
@maxsordi,14,16,30,0.4666666666666667,balanced
@rps1689,7,23,30,0.23333333333333334,denial-leaning
@Jc-ms5vv,10,19,29,0.3448275862068966,balanced
@hanshansen3885,12,17,29,0.41379310344827586,balanced
@oldineamiller9007,13,15,28,0.4642857142857143,balanced
@peterjones4180,26,1,27,0.9629629629629629,science-leaning
@SigFigNewton,14,12,26,0.5384615384615384,balanced
@drkstrong,15,11,26,0.5769230769230769,balanced
@woodchipgardens9084,4,22,26,0.15384615384615385,denial-leaning
@RobertMJohnson,14,11,25,0.56,balanced
@simon6071,4,21,25,0.16,denial-leaning
@1000frolly,16,9,25,0.64,balanced
@reuireuiop0,15,9,24,0.625,balanced
@C_R_O_M________,1,23,24,0.041666666666666664,denial-leaning
@boogathon,2,22,24,0.08333333333333333,denial-leaning
@garysarela4431,10,13,23,0.43478260869565216,balanced
@AtlasPro1,1,22,23,0.043478260869565216,denial-leaning
@fredneecher1746,11,12,23,0.4782608695652174,balanced
@kayakMike1000,3,19,22,0.13636363636363635,denial-leaning
@TerraPotentia,4,18,22,0.18181818181818182,denial-leaning
@danzel1157,2,20,22,0.09090909090909091,denial-leaning
@TruthWizardX,19,3,22,0.8636363636363636,science-leaning
@RichardTavilla,7,15,22,0.3181818181818182,balanced
@CH-et4go,7,14,21,0.3333333333333333,balanced
@ClimateDN,8,13,21,0.38095238095238093,balanced
@jimthain8777,7,14,21,0.3333333333333333,balanced
@ceeemm1901,8,13,21,0.38095238095238093,balanced
@pshehan1,1,20,21,0.047619047619047616,denial-leaning
@kimlibera663,6,15,21,0.2857142857142857,denial-leaning
@lorenzoblum868,15,6,21,0.7142857142857143,science-leaning
@albertjackinson,4,16,20,0.2,denial-leaning
@thomasmaughan4798,10,10,20,0.5,balanced
@geraldfrost4710,9,11,20,0.45,balanced
@klokoloko2114,11,9,20,0.55,balanced
@Proemed44G,1,18,19,0.05263157894736842,denial-leaning
@bartroberts1514,5,13,18,0.2777777777777778,denial-leaning
@wheel-man5319,2,16,18,0.1111111111111111,denial-leaning
@R-A-Clark,1,16,17,0.058823529411764705,denial-leaning
@bobbobby3085,1,16,17,0.058823529411764705,denial-leaning
@BrentonSmythesfieldsaye,5,12,17,0.29411764705882354,denial-leaning
@eattherich1793,1,16,17,0.058823529411764705,denial-leaning
@climatecraze,12,5,17,0.7058823529411765,science-leaning
@petewright4640,5,12,17,0.29411764705882354,denial-leaning
@kimweaver3323,5,11,16,0.3125,balanced
@EmeraldView,15,1,16,0.9375,science-leaning
@williamschlosser,3,12,15,0.2,denial-leaning
@mve6182,4,11,15,0.26666666666666666,denial-leaning
@jamespyke6764,7,8,15,0.4666666666666667,balanced
@etienne8110,11,4,15,0.7333333333333333,science-leaning
@besmart,8,7,15,0.5333333333333333,balanced
@WadcaWymiaru,7,8,15,0.4666666666666667,balanced
@ge556,5,10,15,0.3333333333333333,balanced
@andrewcheadle948,11,4,15,0.7333333333333333,science-leaning
@altrag,2,13,15,0.13333333333333333,denial-leaning
@TheConstitutionFirst,14,1,15,0.9333333333333333,science-leaning
@johngeier8692,1,13,14,0.07142857142857142,denial-leaning
@vhawk1951kl,5,9,14,0.35714285714285715,balanced
@glidercoach,7,7,14,0.5,balanced
@liner011f7,5,9,14,0.35714285714285715,balanced
@samlair3342,10,4,14,0.7142857142857143,science-leaning
@will7its,2,12,14,0.14285714285714285,denial-leaning
@LuxDiscendi,4,10,14,0.2857142857142857,denial-leaning
@kmoses582,4,10,14,0.2857142857142857,denial-leaning
@hg6996,2,12,14,0.14285714285714285,denial-leaning
@dongaetano3687,5,8,13,0.38461538461538464,balanced
@terenceiutzi4003,7,6,13,0.5384615384615384,balanced
@douglasengle2704,6,7,13,0.46153846153846156,balanced
@Emppu_T.,9,4,13,0.6923076923076923,balanced
@BillyTheKidCENTURION,3,10,13,0.23076923076923078,denial-leaning
@pilafmon,1,12,13,0.07692307692307693,denial-leaning
@peterh5165,7,6,13,0.5384615384615384,balanced
@peternagel-er7ly,1,12,13,0.07692307692307693,denial-leaning
@nae-nae-99,4,9,13,0.3076923076923077,balanced
@Cambyses1467,8,5,13,0.6153846153846154,balanced
@Tequima,10,3,13,0.7692307692307693,science-leaning
@biggav7434,9,4,13,0.6923076923076923,balanced
@bighands69,6,7,13,0.46153846153846156,balanced
@ConfidentlyUninformed,5,7,12,0.4166666666666667,balanced
@thebritishbookworm2649,1,11,12,0.08333333333333333,denial-leaning
@oldgoat142,4,8,12,0.3333333333333333,balanced
@spillarge,7,5,12,0.5833333333333334,balanced
@penguinuprighter6231,6,6,12,0.5,balanced
@trader2137,1,11,12,0.08333333333333333,denial-leaning
@budbud2509,3,9,12,0.25,denial-leaning
@dasGagaTier,2,10,12,0.16666666666666666,denial-leaning
@danilooliveira6580,1,11,12,0.08333333333333333,denial-leaning
@yasi4877,4,7,11,0.36363636363636365,balanced
@jamisojo,1,10,11,0.09090909090909091,denial-leaning
@miked5106,4,7,11,0.36363636363636365,balanced
@stevem8318,8,3,11,0.7272727272727273,science-leaning
@billymcnomates7764,10,1,11,0.9090909090909091,science-leaning
@Thomas-gk42,1,10,11,0.09090909090909091,denial-leaning
@DrachenGothik666,1,10,11,0.09090909090909091,denial-leaning
@manoo422,6,5,11,0.5454545454545454,balanced
@Cspacecat,6,5,11,0.5454545454545454,balanced
@SteveSmith-fh6br,1,10,11,0.09090909090909091,denial-leaning
@christinearmington,10,1,11,0.9090909090909091,science-leaning
@decimusrex92,10,1,11,0.9090909090909091,science-leaning
@Ironic1950,3,7,10,0.3,balanced
@MaximeNoël-c7j,4,6,10,0.4,balanced
@andydunn5673,1,9,10,0.1,denial-leaning
@johnsergei,3,7,10,0.3,balanced
@billyjoesmo8251,9,1,10,0.9,science-leaning
@chrishaven1489,8,2,10,0.8,science-leaning
@joemonroe9456,2,8,10,0.2,denial-leaning
@abloogywoogywoo,2,8,10,0.2,denial-leaning
@someguy2135,7,3,10,0.7,balanced
@RussCR5187,1,9,10,0.1,denial-leaning
@karolinahagegard,8,2,10,0.8,science-leaning
@OldScientist,5,5,10,0.5,balanced
@nenmaster5218,4,6,10,0.4,balanced
@nyali2,4,6,10,0.4,balanced
@jrjohnryanjr,4,6,10,0.4,balanced
@rodkeh,7,3,10,0.7,balanced
@tvuser9529,5,5,10,0.5,balanced
@AlsanPine,7,3,10,0.7,balanced
@tuckerbugeater,7,3,10,0.7,balanced
@ika5666,1,8,9,0.1111111111111111,denial-leaning
@a.randomjack6661,4,5,9,0.4444444444444444,balanced
@libertyforever4270,3,6,9,0.3333333333333333,balanced
@dr_shrinker,4,5,9,0.4444444444444444,balanced
@kurzgesagt,4,5,9,0.4444444444444444,balanced
@nikitaw1982,1,8,9,0.1111111111111111,denial-leaning
@nrqed,1,8,9,0.1111111111111111,denial-leaning
@TheCountess666,3,6,9,0.3333333333333333,balanced
@Sivah_Akash,8,1,9,0.8888888888888888,science-leaning
@roberthicks1612,8,1,9,0.8888888888888888,science-leaning
@michaelrch,3,6,9,0.3333333333333333,balanced
@phil20_20,8,1,9,0.8888888888888888,science-leaning
@darylfoster7944,2,7,9,0.2222222222222222,denial-leaning
@philipm3173,8,1,9,0.8888888888888888,science-leaning
@tuberroot1112,2,7,9,0.2222222222222222,denial-leaning
@MrMezmerized,1,8,9,0.1111111111111111,denial-leaning
@MrOTLChamp,8,1,9,0.8888888888888888,science-leaning
@gandolfthewhite,1,8,9,0.1111111111111111,denial-leaning
@portfolio91,4,5,9,0.4444444444444444,balanced
@OldJackWolf,5,4,9,0.5555555555555556,balanced
@earldecker7760,2,7,9,0.2222222222222222,denial-leaning
@freedomforlove101,5,4,9,0.5555555555555556,balanced
@mafarmerga,3,6,9,0.3333333333333333,balanced
@hg2.,6,3,9,0.6666666666666666,balanced
@20-Foot-Anaconda,8,1,9,0.8888888888888888,science-leaning
@mathboy8188,1,8,9,0.1111111111111111,denial-leaning
@metaldetektordk,3,6,9,0.3333333333333333,balanced
@jayejaycurry5485,6,3,9,0.6666666666666666,balanced
@-LightningRod-,6,2,8,0.75,science-leaning
@Alexander_Kale,5,3,8,0.625,balanced
@jeffreyluciana8711,5,3,8,0.625,balanced
@robertdouglas8895,7,1,8,0.875,science-leaning
@roberthicks5454,2,6,8,0.25,denial-leaning
@thurmanzhou1304,3,5,8,0.375,balanced
@kein_indianer,1,7,8,0.125,denial-leaning
@Woltato,3,5,8,0.375,balanced
@volkerengels5298,6,2,8,0.75,science-leaning
@nsbd90now,5,3,8,0.625,balanced
@gehwissen3975,7,1,8,0.875,science-leaning
@ralphholiman7401,7,1,8,0.875,science-leaning
@johanponken,2,6,8,0.25,denial-leaning
@denisdaly1708,3,5,8,0.375,balanced
@richarddobreny6664,3,5,8,0.375,balanced
@incognitotorpedo42,5,3,8,0.625,balanced
@michaeldeierhoi4096,1,7,8,0.125,denial-leaning
@proudhon100,1,7,8,0.125,denial-leaning
@Crispr_CAS9,2,6,8,0.25,denial-leaning
@adrianthoroughgood1191,4,4,8,0.5,balanced
@ambientcarrot,4,4,8,0.5,balanced
@dtz1000,6,2,8,0.75,science-leaning
@drunkenhobo5039,2,6,8,0.25,denial-leaning
@QT5656,5,3,8,0.625,balanced
@albin4323,3,5,8,0.375,balanced
@17MrLeon,5,2,7,0.7142857142857143,science-leaning
@peetsnort,6,1,7,0.8571428571428571,science-leaning
@ddoumeche,2,5,7,0.2857142857142857,denial-leaning
@frede1905,1,6,7,0.14285714285714285,denial-leaning
@thoutube9522,6,1,7,0.8571428571428571,science-leaning
@itsmorphed6416,6,1,7,0.8571428571428571,science-leaning
@cdmarshall7448,6,1,7,0.8571428571428571,science-leaning
@thomasmartin406,6,1,7,0.8571428571428571,science-leaning
@baneverything5580,4,3,7,0.5714285714285714,balanced
@outbackeddie,1,6,7,0.14285714285714285,denial-leaning
@BrianBellia,1,6,7,0.14285714285714285,denial-leaning
@johnchandler1687,1,6,7,0.14285714285714285,denial-leaning
@Mystery_Man_ML,3,4,7,0.42857142857142855,balanced
@justmenotyou3151,6,1,7,0.8571428571428571,science-leaning
@CarlZimmerJung,5,2,7,0.7142857142857143,science-leaning
@davidprimeau3368,1,6,7,0.14285714285714285,denial-leaning
@SeraphsWitness,1,6,7,0.14285714285714285,denial-leaning
@j.kaimori3848,3,4,7,0.42857142857142855,balanced
@ProPexPup,5,2,7,0.7142857142857143,science-leaning
@evets1709,1,6,7,0.14285714285714285,denial-leaning
@SaveMoneySavethePlanet,2,5,7,0.2857142857142857,denial-leaning
@markmuller7962,1,6,7,0.14285714285714285,denial-leaning
@RedXlV,1,6,7,0.14285714285714285,denial-leaning
@archstanton_live,1,6,7,0.14285714285714285,denial-leaning
@europaeuropa3673,3,4,7,0.42857142857142855,balanced
@tomtetomtesson2477,1,6,7,0.14285714285714285,denial-leaning
@Debbie-henri,3,4,7,0.42857142857142855,balanced
@Entropic0,1,6,7,0.14285714285714285,denial-leaning
@dylaninnes8541,2,5,7,0.2857142857142857,denial-leaning
@TheTeaParty320,3,4,7,0.42857142857142855,balanced
@ZennExile,6,1,7,0.8571428571428571,science-leaning
@WiseandVegan,5,2,7,0.7142857142857143,science-leaning
@terencejay8845,4,3,7,0.5714285714285714,balanced
@maxxwellbeing9449,6,1,7,0.8571428571428571,science-leaning
@mikeharrington5593,5,2,7,0.7142857142857143,science-leaning
@WSmith_1984,2,5,7,0.2857142857142857,denial-leaning
@KingComputerSydney,2,5,7,0.2857142857142857,denial-leaning
@donkloos9078,2,5,7,0.2857142857142857,denial-leaning
@andrewclark3236,5,2,7,0.7142857142857143,science-leaning
@williambaikie5739,2,5,7,0.2857142857142857,denial-leaning
@shealdedmon7027,6,1,7,0.8571428571428571,science-leaning
@stoodmuffinpersonal3144,6,1,7,0.8571428571428571,science-leaning
@Jacob-ks4mu,6,1,7,0.8571428571428571,science-leaning
@wlhgmk,5,2,7,0.7142857142857143,science-leaning
@scottclay4253,3,4,7,0.42857142857142855,balanced
@Tengooda,1,6,7,0.14285714285714285,denial-leaning
@sedonars1,5,2,7,0.7142857142857143,science-leaning
@glenbard657,1,6,7,0.14285714285714285,denial-leaning
@canemcave,6,1,7,0.8571428571428571,science-leaning
@gedofgont1006,1,6,7,0.14285714285714285,denial-leaning
@scottsrfun,1,6,7,0.14285714285714285,denial-leaning
@aeroearth,3,4,7,0.42857142857142855,balanced
@kirklaird8345,3,4,7,0.42857142857142855,balanced
@jjoohhhnn,3,4,7,0.42857142857142855,balanced
