in_degree,out_degree,pagerank,betweenness,eigenvector,closeness,influence_composite,author,camp,activity,mean_compound,pct_negative,n_comments
2,2,0.0004614355658104,0.0,-1.0061942026412076e-18,0.0,0.0135882289397965,@-LightningRod-,science,5,-0.027493213833333325,0.3333333333333333,6.0
2,0,0.0006423179697581,0.0,1.5959257419603718e-17,0.0,0.0217781377042256,@john2909,science,1,-0.831811,1.0,1.0
0,2,0.0002496698489853,0.0,-5.105358263887304e-18,0.0,0.0,@-Mitra-,science,2,-0.7710945,1.0,2.0
2,0,0.0004614355658104,0.0,-6.103120643133085e-18,0.0,0.0135882289397965,@Daniel_TBR,science,1,0.0120007545,0.0,1.0
0,2,0.0002496698489853,0.0,1.4934131023377788e-19,0.0,0.0,@07Flash11MRC,science,2,-0.80951745,1.0,2.0
2,0,0.0004614355658104,0.0,-9.477325501065164e-19,0.0,0.0135882289397965,@surfbum8166,science,1,-0.020720854,0.0,1.0
0,2,0.0002496698489853,0.0,6.986335530331327e-20,0.0,0.0,@0Tony1,science,2,-0.61285502,0.5,2.0
2,0,0.0004614355658104,0.0,5.76844353110638e-18,0.0,0.0135882289397965,@jennitro,science,1,0.90753114,0.0,1.0
7,7,0.0006732012826355,0.0,-4.580659032861693e-18,0.0,0.0331764578795931,@1000frolly,science,14,-0.328292858875,0.5,16.0
31,0,0.0031696397985238,0.0,8.322449253554719e-17,0.0,0.1942090317226589,1000frolly PhD,science,0,0.0,,
2,0,0.0004135357131912,0.0,4.5824540357063924e-17,0.0,0.011419441848187,@CNCmachiningisfun,science,1,0.18985254999999998,0.0,2.0
0,2,0.0002496698489853,0.0,3.408524329539252e-18,0.0,0.0,@10_MILES_HIGH_,science,2,-0.8383647000000001,1.0,2.0
2,0,0.0004614355658104,0.0,-1.7558898572057225e-18,0.0,0.0135882289397965,@konstantinlyskoit1126,science,1,-0.64473104,1.0,1.0
0,2,0.0002496698489853,0.0,-1.998002654984236e-18,0.0,0.0,@12345bil12345,science,2,-0.42244374500000004,0.5,2.0
4,0,0.0006732012826355,0.0,-4.9030283345711396e-18,0.0,0.0271764578795931,@JoaDrath,science,1,-0.24961254,0.0,1.0
0,2,0.0002496698489853,0.0,5.653072555541334e-19,0.0,0.0,@17MrLeon,science,5,-0.49866500280000003,0.6,5.0
4,0,0.0005461418525405,0.0,-3.547354372640071e-18,0.0,0.0214235205157151,@dylanfinch2951,science,1,-0.66826487,1.0,1.0
0,4,0.0002496698489853,0.0,-1.6172022387713556e-21,0.0,0.0,@1caramarie,science,4,-0.5474946725000001,0.75,4.0
4,0,0.0004614355658104,0.0,-7.411899989220888e-19,0.0,0.0175882289397965,@philippschwartzerdt3431,science,1,0.20395592,0.0,1.0
0,2,0.0002496698489853,0.0,2.424981226769872e-18,0.0,0.0,@1faithchick7,science,5,-0.525225458,0.4,5.0
2,0,0.0004614355658104,0.0,-6.801559078939615e-20,0.0,0.0135882289397965,@Figs4Life,science,1,-0.183735859,0.0,2.0
0,2,0.0002496698489853,0.0,1.4276435770847226e-18,0.0,0.0,@1stdefenseinc,science,2,-0.26710523865,0.5,2.0
2,0,0.0004614355658104,0.0,3.704266973303358e-19,0.0,0.0135882289397965,@Jaggerjaw99,science,1,-0.29835713,0.0,1.0
0,3,0.0002496698489853,0.0,1.4398736952709409e-18,0.0,0.0,@20-Foot-Anaconda,science,8,-0.6545416362500001,0.875,8.0
3,0,0.0004614355658104,0.0,2.9649461870090593e-18,0.0,0.0155882289397965,@voltrevolt8731,science,1,-0.303041095,0.5,2.0
0,2,0.0002496698489853,0.0,2.754870394457631e-19,0.0,0.0,@2Madre,science,2,-0.247058705,0.5,2.0
2,0,0.0004614355658104,0.0,1.5322701594340729e-18,0.0,0.0135882289397965,@fatcat8dog,science,1,0.77781683,0.0,1.0
0,2,0.0002496698489853,0.0,-2.9456523122504722e-18,0.0,0.0,@2Oldcoots,science,2,0.6275686,0.0,2.0
5,0,0.0006732012826355,0.0,-8.252879110328995e-18,0.0,0.0291764578795931,Tom Nelson,science,0,0.0,,
0,2,0.0002496698489853,0.0,4.1859723647363034e-18,0.0,0.0,@2bfrank657,science,2,-0.0832525225,0.0,2.0
4,0,0.0006732012826355,0.0,-3.536770267090595e-19,0.0,0.0271764578795931,@puckelberry,science,2,-0.586732715,0.5,2.0
0,2,0.0002496698489853,0.0,1.836798652997021e-18,0.0,0.0,@2kmichaeljordan438,science,2,-0.79407217,1.0,2.0
