author,community,camp
@-LightningRod-,0,science
@john2909,0,science
@-Mitra-,1,science
@Daniel_TBR,1,science
@07Flash11MRC,2,science
@surfbum8166,2,science
@0Tony1,3,science
@jennitro,3,science
@1000frolly,4,science
1000frolly PhD,4,science
@CNCmachiningisfun,4,science
@10_MILES_HIGH_,5,science
@konstantinlyskoit1126,5,science
@12345bil12345,6,science
@JoaDrath,6,science
@17MrLeon,7,science
@dylanfinch2951,7,science
@1caramarie,8,science
@philippschwartzerdt3431,8,science
@1faithchick7,9,science
@Figs4Life,9,science
@1stdefenseinc,10,science
@Jaggerjaw99,10,science
@20-Foot-Anaconda,11,science
@voltrevolt8731,11,science
@2Madre,12,science
@fatcat8dog,12,science
@2Oldcoots,13,science
Tom Nelson,13,science
@2bfrank657,14,science
@puckelberry,14,science
@2kmichaeljordan438,15,science
@roompa2271,15,science
@4321eyeseeyou,677,science
The Heartland Institute,677,science
@55Quirll,17,science
@jeffb4612,17,science
@64jcl,18,science
University of California Television (UCTV),18,science
@AGWUK,19,science
@thesoundsmith,19,science
@AJDOLDCHANNELARCHIVE,20,science
@JDCypr3ss,20,science
@ARLGD,21,science
@Rogar0,21,science
@AVToth,22,science
@gerhardstrauss723,22,science
@AbhiKumar-p4d1y,23,science
DW Documentary,23,science
@AdnanKhan-vr4nd,24,science
Shekhar,24,science
@Adodang,25,science
@Johan-kk1sh,25,science
@AfterTheIce-q4j,26,science
@jaredmatthews252,26,science
@Aizensosukke,27,science
@germanyoutubedeutschland9899,27,science
@Alex-fu3mi,28,science
@LactationDuct,28,science
@AlexMx-c3f,23,science
@Alexandra9390,29,science
BBC,29,science
@AllOne95,30,science
@MattFenlon,30,science
@AlsanPine,31,science
@bibliotek42,31,science
@warpmonkey,31,science
@AmericatheBeautiful-p4z,32,science
@domalash,32,science
@AmitTomar-b8w,33,science
Khan Global Studies,33,science
@AmorWithoutBorders,34,science
Johnny Harris,34,science
@Andomosity,35,science
@gerretw,35,science
@AnkurShah,15,science
zentouro,15,science
@Anonymous-so3mg,36,science
@TheZZcube,36,science
@AnonymousBosch3158,37,science
@ikik3406,37,science
@AnuragDDethe,38,science
@JoyHomfeld,38,science
@AnyelinaL,39,science
@raiu,39,science
@Apenimon15,40,science
@bibliophile2707,40,science
@AppleOfThineEye,41,science
@bernardqblack,41,science
@Aqyar,42,science
@frane9832,42,science
@Arctic_lonewolf,43,science
@wtpauley,43,science
@ArcusDraco,44,science
@shortycrust,44,science
@Arthur_da_dog,45,science
@UpcycleElectronics,45,science
@ArunKumar-p6h7o,46,science
Devam Project,46,science
@AstrumEarth,47,science
Astrum Earth,47,science
@AudioPervert1,48,science
@mitchellkrouth5083,48,science
@AussiePrepper152,49,science
The Randall Carlson,49,science
@AvianAndLoaded,50,science
@lindalembeck7286,50,science
@BB-yf6tm,446,science
@D.g.s-g6q,446,science
@BBCWorldService,52,science
BBC World Service,52,science
@BackToBackJames,53,science
@MASTERTINTIN,53,science
@BandAid350z,54,science
@camdenrafftery3555,54,science
@BarrGC,55,science
@trigger9779,55,science
@Battleneter,56,science
@aletheiai,56,science
@BeeRich33,57,science
@MrHamburgers1994,57,science
@BerndFelsche,58,science
@alterego-bg8gs,58,science
@BigBensAxles,59,science
@0649Hayes,59,science
@BigFatHeretic,60,science
@nosondre,60,science
@BigNewGames,61,science
David Dilley GlobalWeatherCycles,61,science
@BillyTheKidCENTURION,62,science
@hocuspocus1237,62,science
@BipoIarbear,63,science
@ianbeel4887,63,science
@BlickQuickly1,64,science
@TimjoeMontour,64,science
@Bob-hq5lj,65,science
@gulf_of_mexxico,65,science
@BobSaget6365,66,science
@perrysanders8433,66,science
@BodhiSoftMobileApps,67,science
@SuperchargedCow,67,science
@BrentonSmythesfieldsaye,68,science
@bmccameron7642,68,science
@BrianPicht,69,science
@eileenstevens8018,69,science
@Brianpeckin,70,science
@ffxim,70,science
@BrotherPatriot,71,science
@danielwilliamson3968,71,science
@Brownhare09734,446,science
Paul Beckwith,446,science
@BuffCrusader123,72,science
@guyonthecouch007,72,science
@Burdjuice,73,science
@matthewbruh1326,73,science
@BythepeopleForthepeople203,74,science
@libertyforever4270,74,science
@ohmslawyer3599,74,science
@CH-et4go,75,science
@David-h5r1x,75,science
@jlg3315,75,science
@CVshorey,76,science
@christopherlawrence1688,76,science
@dakotarose3377,76,science
@Calle.Hutch..,77,science
@Burninsock,77,science
@Cambyses1467,78,science
@AdrianMier,78,science
@SabbaticWitch,78,science
@alexanderstone9463,78,science
@CarlosOddone-z6k,79,science
@glenrenaud9465,79,science
@CaryNari,80,science
ClickView,80,science
@CatDadAckerman,81,science
@MrErpman,81,science
@Cedders001,82,science
@ShaynaFilion,82,science
@ChadDad1488,83,science
@Kehvan,83,science
@ChandanSingh-vx4zf,84,science
ThePrint,84,science
@Charlie-kn7zg,85,science
@bradleyirons3497,85,science
@Cheesemongle,86,science
@Anjou-m4v,86,science
@ChefRafi,87,science
National Geographic,87,science
@Chevette1793,88,science
@onlymediumsteak9005,88,science
@Cholo282,89,science
@jocksmachina7759,89,science
@Christianmingle420,90,science
@johnruckman2320,90,science
@ChristopherCurtis,91,science
@majorgnu,91,science
@ChuckisNorrish,92,science
@tahay2004,92,science
@ChukMitchell,446,science
@ClimateDN,93,science
@infiad1275,93,science
@Collin-p9m,94,science
@Guineapigofdeath73,94,science
@Colt_man_2019,95,science
@Jeonginlovrrr,95,science
@Comin_at_U_Live,96,science
@bigdaddyj2026,96,science
@ConfidentlyUninformed,97,science
@AllAboutClimate,97,science
@ConstitutionDefeatsTyranny,98,science
@HckrNeo1,98,science
@CoolMusicToMyEars,130,science
Extinction Rebellion (XR) UK,130,science
@CooldBloodedGaming,100,science
@elynab.8537,100,science
@CornPopWazABadDude,101,science
@JacklynGibson-l6o,101,science
@Cozmikazi,102,science
@pbdye1607,102,science
@CraigDavies.,103,science
@jonathonjubb6626,103,science
@Crispr_CAS9,104,science
@Alekosssvr,104,science
@CristiánArenasUlloa,105,science
@reality8763,105,science
@CrystalM,106,science
@focalized,106,science
@Cspacecat,107,science
connect741,107,science
@D-B-Cooper,108,science
CDN,108,science
@DBT1007,109,science
@Yaxoi,109,science
@DRSulik,110,science
@Abhiram-b7q,110,science
@DSN007,111,science
@Magik1369,111,science
@DaVe-iSnOtHoMe.MaN.LemmingsWeB,112,science
@michaels7566,112,science
@Dabzsy,113,science
@drilltok7838,113,science
@Damien81ful,114,science
Oppenheimer Ranch Project,114,science
@DanA-nl5uo,115,science
@kushalvora7682,115,science
Democracy Now!,115,science
@Daniel-sn8fg,116,science
@georglieber2158,116,science
@DannyHatcher,117,science
@DemetriPanici,117,science
@Danny_Tin,118,science
@EcoHouseThailand,118,science
@DareusTyn,119,science
@PrVox34,119,science
@DarkShroom,120,science
@flytothemoon50,120,science
@Dashboarded1,121,science
@jeremydolot2083,121,science
@DavidJones-ot8qu,122,science
@danielbenner7583,122,science
@DeEmperor1,123,science
@lovey1973,123,science
@DeMooniC,124,science
@fintincollins5103,124,science
@DeepakSharma-ty5ev,125,science
TRT World,125,science
@Deimnos,126,science
@harryiii3361,126,science
@Delosian,127,science
@anarky3934,127,science
@Desertphile,128,science
@connect741,128,science
@DevilsAdvocate43,93,science
@Die-sel13136,129,science
@agentsofthekremlininform2471,129,science
@Diego-fb5fq,130,science
Climate Chat,130,science
@DilleyGlobalWeatherCycles,61,science
@cliffcraig5594,61,science
@dallastaylor5479,61,science
@haimsibony3591,61,science
@karenpiotte90,61,science
@DirtFlyer,131,science
@glidercoach,131,science
@granitfog,131,science
@Dodger481,132,science
The Young Turks,132,science
@Dona-fu9zh,133,science
@Universalmaa,133,science
@ERIK-54561,134,science
@LorenzoDinia,134,science
@ahmedalsharman,134,science
@EVIL9000,135,science
@methanesulfonic,135,science
@EdithFloyd-x4i,136,science
Science ABC,136,science
@Electroshk,137,science
@Gormbauer,137,science
@ElizabethHalloway-nz7wb,138,science
@spinning1063,138,science
@EmeraldView,446,science
@dion8962,446,science
@sldulin,446,science
@EmilyJelassi,139,science
PBS Terra,139,science
@Emperor-vijay,140,science
@Rai____RDS,140,science
@End_axes,141,science
@nocturnalsingularity3138,141,science
@Euxhex,142,science
@CeruleanAster,142,science
@Falhaar,143,science
@michaelpdrock1,143,science
@FishJesus420,144,science
@Dergon_Deluxe,144,science
@FourthRoot,145,science
@UMosNyu,145,science
@FranklinVaugn,446,science
@FreakyLordSWatchingU,146,science
@roysmith5711,146,science
@FrederikFalk21,147,science
@EspacX,147,science
@Frickolas,148,science
@tsun4mi993,148,science
@GODdank,149,science
@astudent6056,149,science
@GaryOsmondson,446,science
TED,446,science
@Gazr965,150,science
@Greg-Horne,150,science
@GenericInternetter,151,science
RealLifeLore,151,science
@Genetix.,152,science
@tasosrevenge8799,152,science
@GeorgiosD90,153,science
@TehJumpingJawa,153,science
@GiRR007,154,science
@peterotoole2142,154,science
@Globeishoax,155,science
@ChristianIce,155,science
@GnosticLucifer,156,science
@carthius,156,science
@GoGreenHub,157,science
@jeff_rowe,157,science
@Good-gc1bi,158,science
The Curious Cobra,158,science
@Gperci-m4w,159,science
@FleaOnPeanut,159,science
@livethemoment5148,159,science
@GrayDogNowIDK,160,science
@RetroRobotRadio,160,science
@Greaterglider2,161,science
@LTBulletCatcher,161,science
@rcdune7132,161,science
@GreenNeighbour-PolicyWatch,162,science
@hintersland7262,162,science
@GreenPoint_one,163,science
@JM4rch,163,science
@Gurci-q4x,164,science
