author,camp,mean_compound,std_compound,n_comments,pct_negative,pct_positive
@---gk9ve,science,-0.6629803,,1,1.0,0.0
@--Nath--,science,-0.7028874,0.15739192857583262,2,1.0,0.0
@--Paws--,denial,-0.585531775,0.11992653396325946,4,1.0,0.0
@--Paws--,science,0.010977469,,1,0.0,0.0
@--andy-,science,-0.046087988,,1,0.0,0.0
@-.._.-_...-_.._-..__..._.-.-.-,denial,-0.64516073,,1,1.0,0.0
@-._.-KRiS-._.-,denial,-0.6522788,,1,1.0,0.0
@-47-,denial,-0.15147205,0.0,2,0.0,0.0
@-7-man,science,-0.93051004,,1,1.0,0.0
@-A-lm5xb,denial,-0.78653944,,1,1.0,0.0
@-AkhilTej-,science,0.9285922,,1,0.0,1.0
@-AxisA-,science,0.0933011,,1,0.0,0.0
@-Christoph,science,0.82523793,,1,0.0,1.0
@-ColdAsIce,science,-0.8910496,,1,1.0,0.0
@-Hilltophaven-,science,0.9792314,,1,0.0,1.0
@-KMA-,denial,-0.8182756,,1,1.0,0.0
@-LightningRod-,denial,-0.49597984500000003,0.18650933424609192,2,0.5,0.0
@-LightningRod-,science,-0.027493213833333325,0.640664769694788,6,0.3333333333333333,0.3333333333333333
@-Little-Nightmare,science,0.56202835,,1,0.0,1.0
@-Markus-,science,-0.0863626,,1,0.0,0.0
@-Mitra-,science,-0.7710945,0.1745978164610886,2,1.0,0.0
@-Raylight,denial,0.051062554,0.0,2,0.0,1.0
@-Simple-,denial,-0.16694432,,1,0.0,0.0
@-Subtle-,denial,-0.24413012,0.40067858647646143,4,0.25,0.0
@-The-Stranger-,denial,-0.59384736,0.14304012164934432,2,1.0,0.0
@-_James_-,denial,-0.583964705,0.2695532839893887,2,0.5,0.0
@-_James_-,science,-0.0030459017,,1,0.0,0.0
@-__._-..-_AQ-17,denial,0.73750603,,1,0.0,1.0
@-cookiezila-461,science,-0.1738256,,1,0.0,0.0
@-ewars,denial,0.9532475,,1,0.0,1.0
@-fsa-7647,science,-0.21456942,,1,0.0,0.0
@-hitman-9103,science,-0.09866534,,1,0.0,0.0
@-joe-davidson,denial,-0.4327496,,1,0.0,0.0
@-p2349,denial,-0.28859860000000004,0.10584393898774806,4,0.5,0.0
@-wasagoodday,science,-0.4898087,,1,1.0,0.0
@-wreshman-1715,science,-0.06185189,,1,0.0,0.0
@-yourandyoureare2different612,science,-0.8335317,,1,1.0,0.0
@0000asdfasdf0000,science,0.98048294,,1,0.0,1.0
@001dez,denial,-0.5991964275714287,0.3430820091353977,7,0.7142857142857143,0.0
@007Hutchings,denial,-0.20524706,,1,1.0,0.0
@007MrYang,denial,0.9040713,0.0,2,0.0,1.0
@007feck,denial,-0.6616128,0.0,2,1.0,0.0
@007jz6,denial,0.7748344,0.0,2,0.0,1.0
@007kingifrit,science,0.9131721,,1,0.0,1.0
@007sephiroth1,science,-0.22663045,,1,0.0,0.0
@00BillyTorontoBill,science,-0.476425665,0.018917461062321513,2,1.0,0.0
@00Dusty,science,-0.6372037,,1,1.0,0.0
@00Jay215,science,-0.4212044,,1,0.0,0.0
@00clippy,science,0.8192048,,1,0.0,1.0
@00dfm00,science,0.9699006,,1,0.0,1.0
@01134man,denial,-0.050199896,,1,0.0,0.0
@01ai01,science,0.2858245,,1,0.0,0.0
@01bhanaramfarmer2,denial,0.9723621,0.0,2,0.0,1.0
@01bhanaramfarmer2,science,0.97281677,,1,0.0,1.0
@01gtbdaily30,denial,-0.63718027,,1,1.0,0.0
@0230309,denial,-0.350192,,1,0.0,0.0
@024dogtop,science,-0.07525049,,1,0.0,0.0
@030-t4g,denial,0.04636611,,1,0.0,0.0
@04elovek0,science,-0.3009616,,1,0.0,0.0
